,text_unique,count_text,lat,lon
276,gleich,1,-18.069000000000003,-46.621
277,wut,1,-18.67,-46.383
278,trostlosigkeit,1,-19.268,-46.138000000000005
279,jammer,1,-19.863,-45.885
280,dasselbe,1,-20.455,-45.625
281,garten,1,-21.043000000000003,-45.356
282,vielen,1,-21.628,-45.08
283,alles,3,-22.209,-44.797
284,lieber,2,-22.785999999999998,-44.506
285,wo,1,-23.359,-44.208
286,bist,1,-23.929000000000002,-43.902
287,alberner,1,-24.494,-43.589
288,schwarzer,1,-25.055999999999997,-43.269
289,stoffhund,2,-25.613000000000003,-42.941
290,finstere,1,-26.166,-42.607
291,wolke,1,-26.715,-42.265
292,himmel,2,-27.259,-41.916000000000004
293,tagen,1,-27.799,-41.56
294,überhing,1,-28.334,-41.196999999999996
295,also,2,-28.864,-40.827
296,fahre,1,-29.389,-40.451
297,berlin,1,-29.91,-40.068000000000005
298,kaufe,1,-30.425,-39.678000000000004
299,vielleicht,1,-30.936,-39.281
300,kriegst,1,-31.441,-38.878
301,solch,1,-31.941,-38.468
302,soll,1,-32.436,-38.052
303,bitte,4,-32.925,-37.629
304,weitergehen,1,-33.408,-37.2
305,schließlich,3,-33.887,-36.765
306,fand,2,-34.359,-36.324
307,lange,1,-34.826,-35.876999999999995
308,umhergelaufen,1,-35.287,-35.424
309,hatte,2,-35.742,-34.965
310,fahrgeld,1,-36.191,-34.5
311,ausgegeben,1,-36.634,-34.029
312,heute,1,-37.071,-33.552
313,endlich,1,-37.501,-33.07
314,ruhig,1,-37.926,-32.583
315,glücklich,1,-38.344,-32.09
316,liebsten,1,-38.755,-31.590999999999998
317,aller,1,-39.161,-31.088
318,welt,3,-39.559,-30.579
319,gutes,1,-39.951,-30.065
320,getan,1,-40.336999999999996,-29.546
321,abteil,3,-40.715,-29.022
322,dunkles,1,-41.086999999999996,-28.493000000000002
323,blasses,1,-41.452,-27.96
324,meckriges,1,-41.81,-27.421
325,schwieriges,2,-42.161,-26.879
326,störendes,1,-42.505,-26.331
327,herren,1,-42.842,-25.78
328,ab,2,-43.17100000000001,-25.224
329,kuckuck,1,-43.494,-24.663
330,kinde,1,-43.809,-24.099
331,lenkte,1,-44.117,-23.531
332,half,1,-44.418,-22.958000000000002
333,gut,1,-44.711000000000006,-22.381999999999998
334,verschlug,1,-44.996,-21.802
335,nahm,2,-45.273999999999994,-21.219
336,netz,1,-45.545,-20.631999999999998
337,braune,2,-45.808,-20.041
338,paket,2,-46.063,-19.447
339,schnürte,1,-46.31100000000001,-18.85
340,langsam,4,-46.55,-18.25
341,hin,2,-46.782,-17.647000000000002
342,was,3,-47.007,-17.04
343,wohl,2,-47.223,-16.430999999999997
344,drin,1,-47.431999999999995,-15.819
345,faltete,1,-47.632,-15.205
