no;angle;lat;lon;;;;
275;296.963;22.671;-44.565;;;;
274;296.222;22.093;-44.854;;;;
273;295.481;21.511;-45.136;;;;
272;294.741;20.926;-45.411;;;;
271;294.000;20.337;-45.677;;;;
270;293.259;19.745;-45.936;;;;
269;292.519;19.149;-46.188;;;;
268;291.778;18.550;-46.431;;;;
267;291.037;17.949;-46.667;;;;
266;290.296;17.344;-46.896;;;;
265;289.556;16.736;-47.116;;;;
264;288.815;16.126;-47.328;;;;
263;288.074;15.512;-47.533;;;;
262;287.333;14.897;-47.729;;;;
261;286.593;14.278;-47.918;;;;
260;285.852;13.658;-48.099;;;;
259;285.111;13.035;-48.271;;;;
258;284.370;12.409;-48.436;;;;
257;283.630;11.782;-48.592;;;;
256;282.889;11.153;-48.740;;;;
255;282.148;10.522;-48.880;;;;
254;281.407;9.889;-49.012;;;;
253;280.667;9.255;-49.136;;;;
252;279.926;8.619;-49.252;;;;
251;279.185;7.981;-49.359;;;;
250;278.444;7.343;-49.458;;;;
249;277.704;6.703;-49.549;;;;
248;276.963;6.061;-49.631;;;;
247;276.222;5.419;-49.705;;;;
246;275.481;4.776;-49.771;;;;
245;274.741;4.132;-49.829;;;;
244;274.000;3.488;-49.878;;;;
243;273.259;2.843;-49.919;;;;
242;272.519;2.197;-49.952;;;;
241;271.778;1.551;-49.976;;;;
240;271.037;0.905;-49.992;;;;
239;270.296;0.259;-49.999;;;;
238;269.556;-0.388;-49.998;;;;
237;268.815;-1.034;-49.989;;;;
236;268.074;-1.680;-49.972;;;;
235;267.333;-2.326;-49.946;;;;
234;266.593;-2.972;-49.912;;;;
233;265.852;-3.617;-49.869;;;;
232;265.111;-4.261;-49.818;;;;
231;264.370;-4.905;-49.759;;;;
230;263.630;-5.548;-49.691;;;;
229;262.889;-6.190;-49.615;;;;
228;262.148;-6.831;-49.531;;;;
227;261.407;-7.470;-49.439;;;;
226;260.667;-8.109;-49.338;;;;
225;259.926;-8.746;-49.229;;;;
224;259.185;-9.382;-49.112;;;;
223;258.444;-10.016;-48.987;;;;
222;257.704;-10.648;-48.853;;;;
221;256.963;-11.279;-48.711;;;;
220;256.222;-11.908;-48.561;;;;
219;255.481;-12.535;-48.403;;;;
218;254.741;-13.159;-48.237;;;;
217;254.000;-13.782;-48.063;;;;
216;253.259;-14.402;-47.881;;;;
215;252.519;-15.020;-47.691;;;;
214;251.778;-15.635;-47.493;;;;
213;251.037;-16.248;-47.286;;;;
212;250.296;-16.858;-47.072;;;;
211;249.556;-17.465;-46.851;;;;
210;248.815;-18.069;-46.621;;;;
209;248.074;-18.670;-46.383;;;;
208;247.333;-19.268;-46.138;;;;
207;246.593;-19.863;-45.885;;;;
206;245.852;-20.455;-45.625;;;;
205;245.111;-21.043;-45.356;;;;
204;244.370;-21.628;-45.080;;;;
203;243.630;-22.209;-44.797;;;;
202;242.889;-22.786;-44.506;;;;
201;242.148;-23.359;-44.208;;;;
200;241.407;-23.929;-43.902;;;;
199;240.667;-24.494;-43.589;;;;
198;239.926;-25.056;-43.269;;;;
197;239.185;-25.613;-42.941;;;;
196;238.444;-26.166;-42.607;;;;
195;237.704;-26.715;-42.265;;;;
194;236.963;-27.259;-41.916;;;;
193;236.222;-27.799;-41.560;;;;
192;235.481;-28.334;-41.197;;;;
191;234.741;-28.864;-40.827;;;;
190;234.000;-29.389;-40.451;;;;
189;233.259;-29.910;-40.068;;;;
188;232.519;-30.425;-39.678;;;;
187;231.778;-30.936;-39.281;;;;
186;231.037;-31.441;-38.878;;;;
185;230.296;-31.941;-38.468;;;;
184;229.556;-32.436;-38.052;;;;
183;228.815;-32.925;-37.629;;;;
182;228.074;-33.408;-37.200;;;;
181;227.333;-33.887;-36.765;;;;
180;226.593;-34.359;-36.324;;;;
179;225.852;-34.826;-35.877;;;;
178;225.111;-35.287;-35.424;;;;
177;224.370;-35.742;-34.965;;;;
176;223.630;-36.191;-34.500;;;;
175;222.889;-36.634;-34.029;;;;
174;222.148;-37.071;-33.552;;;;
173;221.407;-37.501;-33.070;;;;
172;220.667;-37.926;-32.583;;;;
171;219.926;-38.344;-32.090;;;;
170;219.185;-38.755;-31.591;;;;
169;218.444;-39.161;-31.088;;;;
168;217.704;-39.559;-30.579;;;;
167;216.963;-39.951;-30.065;;;;
166;216.222;-40.337;-29.546;;;;
165;215.481;-40.715;-29.022;;;;
164;214.741;-41.087;-28.493;;;;
163;214.000;-41.452;-27.960;;;;
162;213.259;-41.810;-27.421;;;;
161;212.519;-42.161;-26.879;;;;
160;211.778;-42.505;-26.331;;;;
159;211.037;-42.842;-25.780;;;;
158;210.296;-43.171;-25.224;;;;
157;209.556;-43.494;-24.663;;;;
156;208.815;-43.809;-24.099;;;;
155;208.074;-44.117;-23.531;;;;
154;207.333;-44.418;-22.958;;;;
153;206.593;-44.711;-22.382;;;;
152;205.852;-44.996;-21.802;;;;
151;205.111;-45.274;-21.219;;;;
150;204.370;-45.545;-20.632;;;;
149;203.630;-45.808;-20.041;;;;
148;202.889;-46.063;-19.447;;;;
147;202.148;-46.311;-18.850;;;;
146;201.407;-46.550;-18.250;;;;
145;200.667;-46.782;-17.647;;;;
144;199.926;-47.007;-17.040;;;;
143;199.185;-47.223;-16.431;;;;
142;198.444;-47.432;-15.819;;;;
141;197.704;-47.632;-15.205;;;;
140;196.963;-47.825;-14.588;;;;
139;196.222;-48.009;-13.968;;;;
138;195.481;-48.186;-13.346;;;;
137;194.741;-48.354;-12.722;;;;
136;194.000;-48.515;-12.096;;;;
135;193.259;-48.667;-11.468;;;;
134;192.519;-48.811;-10.838;;;;
133;191.778;-48.947;-10.206;;;;
132;191.037;-49.075;-9.572;;;;
131;190.296;-49.195;-8.937;;;;
130;189.556;-49.306;-8.300;;;;
129;188.815;-49.409;-7.662;;;;
128;188.074;-49.504;-7.023;;;;
127;187.333;-49.591;-6.382;;;;
126;186.593;-49.669;-5.740;;;;
125;185.852;-49.739;-5.098;;;;
124;185.111;-49.801;-4.454;;;;
123;184.370;-49.855;-3.810;;;;
122;183.630;-49.900;-3.165;;;;
121;182.889;-49.936;-2.520;;;;
120;182.148;-49.965;-1.874;;;;
119;181.407;-49.985;-1.228;;;;
118;180.667;-49.997;-0.582;;;;
117;179.926;-50.000;0.065;;;;
116;179.185;-49.995;0.711;;;;
115;178.444;-49.982;1.357;;;;
114;177.704;-49.960;2.003;;;;
113;176.963;-49.930;2.649;;;;
112;176.222;-49.891;3.294;;;;
111;175.481;-49.845;3.939;;;;
110;174.741;-49.790;4.583;;;;
109;174.000;-49.726;5.226;;;;
108;173.259;-49.654;5.869;;;;
107;172.519;-49.574;6.510;;;;
106;171.778;-49.486;7.151;;;;
105;171.037;-49.389;7.790;;;;
104;170.296;-49.285;8.428;;;;
103;169.556;-49.172;9.064;;;;
102;168.815;-49.050;9.699;;;;
101;168.074;-48.921;10.332;;;;
100;167.333;-48.783;10.964;;;;
99;166.593;-48.637;11.594;;;;
98;165.852;-48.483;12.221;;;;
97;165.111;-48.321;12.847;;;;
96;164.370;-48.151;13.471;;;;
95;163.630;-47.973;14.092;;;;
94;162.889;-47.787;14.711;;;;
93;162.148;-47.593;15.328;;;;
92;161.407;-47.390;15.942;;;;
91;160.667;-47.180;16.553;;;;
90;159.926;-46.962;17.162;;;;
89;159.185;-46.737;17.767;;;;
88;158.444;-46.503;18.370;;;;
87;157.704;-46.262;18.970;;;;
86;156.963;-46.013;19.566;;;;
85;156.222;-45.756;20.160;;;;
84;155.481;-45.491;20.749;;;;
83;154.741;-45.219;21.336;;;;
82;154.000;-44.940;21.919;;;;
81;153.259;-44.653;22.498;;;;
80;152.519;-44.358;23.073;;;;
79;151.778;-44.056;23.645;;;;
78;151.037;-43.747;24.212;;;;
77;150.296;-43.430;24.776;;;;
76;149.556;-43.106;25.335;;;;
75;148.815;-42.775;25.890;;;;
74;148.074;-42.437;26.441;;;;
73;147.333;-42.091;26.988;;;;
72;146.593;-41.739;27.529;;;;
71;145.852;-41.379;28.067;;;;
70;145.111;-41.013;28.599;;;;
69;144.370;-40.640;29.127;;;;
68;143.630;-40.260;29.650;;;;
67;142.889;-39.873;30.168;;;;
66;142.148;-39.480;30.681;;;;
65;141.407;-39.080;31.189;;;;
64;140.667;-38.674;31.692;;;;
63;139.926;-38.261;32.189;;;;
62;139.185;-37.841;32.681;;;;
61;138.444;-37.416;33.167;;;;
60;137.704;-36.984;33.648;;;;
59;136.963;-36.546;34.124;;;;
58;136.222;-36.101;34.593;;;;
57;135.481;-35.651;35.057;;;;
56;134.741;-35.195;35.515;;;;
55;134.000;-34.733;35.967;;;;
54;133.259;-34.265;36.413;;;;
53;132.519;-33.791;36.853;;;;
52;131.778;-33.312;37.287;;;;
51;131.037;-32.827;37.714;;;;
50;130.296;-32.337;38.136;;;;
49;129.556;-31.841;38.550;;;;
48;128.815;-31.340;38.959;;;;
47;128.074;-30.834;39.361;;;;
46;127.333;-30.323;39.756;;;;
45;126.593;-29.806;40.145;;;;
44;125.852;-29.285;40.527;;;;
43;125.111;-28.758;40.902;;;;
42;124.370;-28.227;41.270;;;;
41;123.630;-27.691;41.632;;;;
40;122.889;-27.151;41.986;;;;
39;122.148;-26.606;42.334;;;;
38;121.407;-26.056;42.674;;;;
37;120.667;-25.502;43.007;;;;
36;119.926;-24.944;43.334;;;;
35;119.185;-24.382;43.652;;;;
34;118.444;-23.815;43.964;;;;
33;117.704;-23.245;44.268;;;;
32;116.963;-22.671;44.565;;;;
31;116.222;-22.093;44.854;;;;
30;115.481;-21.511;45.136;;;;
29;114.741;-20.926;45.411;;;;
28;114.000;-20.337;45.677;;;;
27;113.259;-19.745;45.936;;;;
26;112.519;-19.149;46.188;;;;
25;111.778;-18.550;46.431;;;;
24;111.037;-17.949;46.667;;;;
23;110.296;-17.344;46.896;;;;
22;109.556;-16.736;47.116;;;;
21;108.815;-16.126;47.328;;;;
20;108.074;-15.512;47.533;;;;
19;107.333;-14.897;47.729;;;;
18;106.593;-14.278;47.918;;;;
17;105.852;-13.658;48.099;;;;
16;105.111;-13.035;48.271;;;;
15;104.370;-12.409;48.436;;;;
14;103.630;-11.782;48.592;;;;
13;102.889;-11.153;48.740;;;;
12;102.148;-10.522;48.880;;;;
11;101.407;-9.889;49.012;;;;
10;100.667;-9.255;49.136;;;;
9;99.926;-8.619;49.252;;;;
8;99.185;-7.981;49.359;;;;
7;98.444;-7.343;49.458;;;;
6;97.704;-6.703;49.549;;;;
5;96.963;-6.061;49.631;;;;
4;96.222;-5.419;49.705;;;;
3;95.481;-4.776;49.771;;;;
2;94.741;-4.132;49.829;;;;
1;94.000;-3.488;49.878;;;;
